variable,x,y
wc2.0_bio_10m_01,-5.955036473274231,3.015516235695993E-14
wc2.0_bio_10m_01,-5.8782455970764165,3.015516235695993E-14
wc2.0_bio_10m_01,-5.801454720878601,3.015516235695993E-14
wc2.0_bio_10m_01,-5.724663844680786,3.015516235695993E-14
wc2.0_bio_10m_01,-5.647872968482972,3.015516235695993E-14
wc2.0_bio_10m_01,-5.571082092285156,3.015516235695993E-14
wc2.0_bio_10m_01,-5.494291216087341,3.015516235695993E-14
wc2.0_bio_10m_01,-5.417500339889527,3.015516235695993E-14
wc2.0_bio_10m_01,-5.340709463691711,3.015516235695993E-14
wc2.0_bio_10m_01,-5.2639185874938965,3.015516235695993E-14
wc2.0_bio_10m_01,-5.187127711296082,3.015516235695993E-14
wc2.0_bio_10m_01,-5.110336835098266,3.015516235695993E-14
wc2.0_bio_10m_01,-5.033545958900452,3.015516235695993E-14
wc2.0_bio_10m_01,-4.956755082702637,3.015516235695993E-14
wc2.0_bio_10m_01,-4.879964206504821,3.015516235695993E-14
wc2.0_bio_10m_01,-4.803173330307007,3.015516235695993E-14
wc2.0_bio_10m_01,-4.726382454109192,3.015516235695993E-14
wc2.0_bio_10m_01,-4.649591577911377,3.015516235695993E-14
wc2.0_bio_10m_01,-4.572800701713562,3.015516235695993E-14
wc2.0_bio_10m_01,-4.496009825515747,3.015516235695993E-14
wc2.0_bio_10m_01,-4.419218949317932,3.015516235695993E-14
wc2.0_bio_10m_01,-4.342428073120117,3.015516235695993E-14
wc2.0_bio_10m_01,-4.265637196922302,3.015516235695993E-14
wc2.0_bio_10m_01,-4.188846320724487,3.015516235695993E-14
wc2.0_bio_10m_01,-4.112055444526672,3.015516235695993E-14
wc2.0_bio_10m_01,-4.0352645683288575,3.015516235695993E-14
wc2.0_bio_10m_01,-3.9584736921310424,3.015516235695993E-14
wc2.0_bio_10m_01,-3.8816828159332273,3.015516235695993E-14
wc2.0_bio_10m_01,-3.804891939735412,3.015516235695993E-14
wc2.0_bio_10m_01,-3.7281010635375975,3.015516235695993E-14
wc2.0_bio_10m_01,-3.6513101873397824,3.015516235695993E-14
wc2.0_bio_10m_01,-3.5745193111419677,3.015516235695993E-14
wc2.0_bio_10m_01,-3.4977284349441526,3.015516235695993E-14
wc2.0_bio_10m_01,-3.4209375587463375,3.015516235695993E-14
wc2.0_bio_10m_01,-3.344146682548523,3.015516235695993E-14
wc2.0_bio_10m_01,-3.2673558063507078,3.015516235695993E-14
wc2.0_bio_10m_01,-3.190564930152893,3.015516235695993E-14
wc2.0_bio_10m_01,-3.113774053955078,3.015516235695993E-14
wc2.0_bio_10m_01,-3.036983177757263,3.015516235695993E-14
wc2.0_bio_10m_01,-2.9601923015594482,3.015516235695993E-14
wc2.0_bio_10m_01,-2.883401425361633,3.015516235695993E-14
wc2.0_bio_10m_01,-2.806610549163818,3.015516235695993E-14
wc2.0_bio_10m_01,-2.7298196729660034,3.208425956554087E-14
wc2.0_bio_10m_01,-2.6530287967681883,3.8625735774991746E-14
wc2.0_bio_10m_01,-2.576237920570373,4.646766166836215E-14
wc2.0_bio_10m_01,-2.4994470443725585,5.586174494438996E-14
wc2.0_bio_10m_01,-2.4226561681747434,6.71070322791692E-14
wc2.0_bio_10m_01,-2.3458652919769287,8.055841692507226E-14
wc2.0_bio_10m_01,-2.2690744157791136,9.663699961776073E-14
wc2.0_bio_10m_01,-2.192283539581298,1.15841865722284E-13
wc2.0_bio_10m_01,-2.1154926633834834,1.387642306832984E-13
wc2.0_bio_10m_01,-2.0387017871856683,1.6610354042732867E-13
wc2.0_bio_10m_01,-1.9619109109878536,1.9868717673725278E-13
wc2.0_bio_10m_01,-1.885120034790039,2.374928324746367E-13
wc2.0_bio_10m_01,-1.8083291585922234,2.8367483058747145E-13
wc2.0_bio_10m_01,-1.7315382823944088,3.3859503742461605E-13
wc2.0_bio_10m_01,-1.6547474061965932,4.038593190338474E-13
wc2.0_bio_10m_01,-1.5779565299987794,4.813590390000122E-13
wc2.0_bio_10m_01,-1.501165653800964,5.733210130601241E-13
wc2.0_bio_10m_01,-1.4243747776031492,6.823639418264416E-13
wc2.0_bio_10m_01,-1.3475839014053337,8.115663631576286E-13
wc2.0_bio_10m_01,-1.270793025207519,9.645427902563175E-13
wc2.0_bio_10m_01,-1.1940021490097044,1.1455358146436612E-12
wc2.0_bio_10m_01,-1.1172112728118897,1.35951948483648E-12
wc2.0_bio_10m_01,-1.0404203966140741,1.6123218211927526E-12
wc2.0_bio_10m_01,-0.9636295204162586,1.9107666837658854E-12
wc2.0_bio_10m_01,-0.8868386442184439,2.2628370531518893E-12
wc2.0_bio_10m_01,-0.8100477680206293,2.677863790087609E-12
wc2.0_bio_10m_01,-0.7332568918228146,3.1667461621726067E-12
wc2.0_bio_10m_01,-0.6564660156249991,3.7422057640179585E-12
wc2.0_bio_10m_01,-0.5796751394271844,4.419077950790218E-12
wc2.0_bio_10m_01,-0.5028842632293689,5.214651193491404E-12
wc2.0_bio_10m_01,-0.4260933870315551,6.131423927607793E-12
wc2.0_bio_10m_01,-0.34930251083373953,7.198916376210951E-12
wc2.0_bio_10m_01,-0.27251163463592487,8.452260592817229E-12
wc2.0_bio_10m_01,-0.19572075843810932,9.923814374424023E-12
wc2.0_bio_10m_01,-0.11892988224029466,1.1651568598836093E-11
wc2.0_bio_10m_01,-0.04213900604247911,1.3680128210791231E-11
wc2.0_bio_10m_01,0.03465187015533466,1.606186364466744E-11
wc2.0_bio_10m_01,0.11144274635315021,1.8858263908794193E-11
wc2.0_bio_10m_01,0.18823362255096487,2.214152125534774E-11
wc2.0_bio_10m_01,0.2650244987487804,2.5996401212258213E-11
wc2.0_bio_10m_01,0.3418153749465951,3.052242139589545E-11
wc2.0_bio_10m_01,0.41860625114440975,3.583643104487777E-11
wc2.0_bio_10m_01,0.4953971273422244,4.2033626579396355E-11
wc2.0_bio_10m_01,0.57218800354004,4.910718706674366E-11
wc2.0_bio_10m_01,0.6489788797378546,5.733011634867502E-11
wc2.0_bio_10m_01,0.7257697559356702,6.688214565508943E-11
wc2.0_bio_10m_01,0.8025606321334848,7.796994300202087E-11
wc2.0_bio_10m_01,0.8793515083312995,9.083093999162628E-11
wc2.0_bio_10m_01,0.9561423845291142,1.0573773800981456E-10
wc2.0_bio_10m_01,1.0329332607269297,1.230030383103653E-10
wc2.0_bio_10m_01,1.1097241369247444,1.4298527639677872E-10
wc2.0_bio_10m_01,1.18651501312256,1.6609491559904654E-10
wc2.0_bio_10m_01,1.2633058893203737,1.9280177454561453E-10
wc2.0_bio_10m_01,1.3400967655181892,2.2364296525800853E-10
