"origName","decimalLongitude","decimalLatitude","year","database","acceptName","name","longitude","latitude","ID"
"Paspalum dilatatum",17.89778,-30.36667,2011,"SANBI","Paspalum dilatatum","Paspalum dilatatum",17.89778,-30.36667,1
"Paspalum dilatatum",17.89778,-30.3666,2011,"SANBI","Paspalum dilatatum","Paspalum dilatatum",17.89778,-30.3666,2
"Paspalum dilatatum",18.375,-34.125,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",18.375,-34.125,3
"Paspalum dilatatum",18.375,-33.875,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",18.375,-33.875,4
"Paspalum dilatatum",18.375,-31.625,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",18.375,-31.625,5
"Paspalum dilatatum",18.4,-33.96667,1903,"SANBI","Paspalum dilatatum","Paspalum dilatatum",18.4,-33.96667,6
"Paspalum dilatatum",18.4,-33.9666,1903,"SANBI","Paspalum dilatatum","Paspalum dilatatum",18.4,-33.9666,7
"Paspalum dilatatum",18.625,-33.875,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",18.625,-33.875,8
"Paspalum dilatatum",18.85139,-33.93361,2012,"SANBI","Paspalum dilatatum","Paspalum dilatatum",18.85139,-33.93361,9
"Paspalum dilatatum",18.85139,-33.9336,2012,"SANBI","Paspalum dilatatum","Paspalum dilatatum",18.85139,-33.9336,10
"Paspalum dilatatum",18.87333,-33.943,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",18.87333,-33.943,11
"Paspalum dilatatum",18.875,-34.375,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",18.875,-34.375,12
"Paspalum dilatatum",18.875,-34.125,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",18.875,-34.125,13
"Paspalum dilatatum",18.875,-33.875,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",18.875,-33.875,14
"Paspalum dilatatum",18.875,-31.875,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",18.875,-31.875,15
"Paspalum dilatatum",18.87862,-33.6363,1970,"SANBI","Paspalum dilatatum","Paspalum dilatatum",18.87862,-33.6363,16
"Paspalum dilatatum",18.8786201477051,-33.6363716125488,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",18.8786201477051,-33.6363716125488,17
"Paspalum dilatatum",18.9252796173096,-32.3636093139648,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",18.9252796173096,-32.3636093139648,18
"Paspalum dilatatum",18.92528,-32.3636,1963,"SANBI","Paspalum dilatatum","Paspalum dilatatum",18.92528,-32.3636,19
"Paspalum dilatatum",19.02222,-34.2691,1996,"SANBI","Paspalum dilatatum","Paspalum dilatatum",19.02222,-34.2691,20
"Paspalum dilatatum",19.125,-32.125,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",19.125,-32.125,21
"Paspalum dilatatum",19.13417,-34.2063,1960,"SANBI","Paspalum dilatatum","Paspalum dilatatum",19.13417,-34.2063,22
"Paspalum dilatatum",19.1341705322266,-34.2063903808594,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",19.1341705322266,-34.2063903808594,23
"Paspalum dilatatum",19.28333,-33.28333,1953,"SANBI","Paspalum dilatatum","Paspalum dilatatum",19.28333,-33.28333,24
"Paspalum dilatatum",19.28333,-33.2833,1953,"SANBI","Paspalum dilatatum","Paspalum dilatatum",19.28333,-33.2833,25
"Paspalum dilatatum",19.375,-34.375,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",19.375,-34.375,26
"Paspalum dilatatum",19.375,-33.375,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",19.375,-33.375,27
"Paspalum dilatatum",19.45,-34.22,2014,"SAPIA","Paspalum dilatatum","Paspalum dilatatum",19.45,-34.22,28
"Paspalum dilatatum",19.5427799224854,-34.2200012207031,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",19.5427799224854,-34.2200012207031,29
"Paspalum dilatatum",19.54278,-34.22,1960,"SANBI","Paspalum dilatatum","Paspalum dilatatum",19.54278,-34.22,30
"Paspalum dilatatum",19.57056,-34.4127,1962,"SANBI","Paspalum dilatatum","Paspalum dilatatum",19.57056,-34.4127,31
"Paspalum dilatatum",19.5705604553223,-34.4127807617188,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",19.5705604553223,-34.4127807617188,32
"Paspalum dilatatum",19.69556,-34.6925,1962,"SANBI","Paspalum dilatatum","Paspalum dilatatum",19.69556,-34.6925,33
"Paspalum dilatatum",19.6955604553223,-34.6925010681152,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",19.6955604553223,-34.6925010681152,34
"Paspalum dilatatum",19.7824993133545,-34.4127807617188,NA,"SANBI","Paspalum dilatatum","Paspalum dilatatum",19.7824993133545,-34.4127807617188,35
